ticker,decision,confidence_long,confidence_short,pnl,position_size,regime
KIRIINDUS.NS,1,0.6324123498328655,0.4667429286647342,0.04,0.02,0
KITEX.NS,1,0.7140984946949743,0.5192137862078492,0.0035374150282156958,0.02,0
KITEX.NS,1,0.6396001746991254,0.4874024472664826,0.02567924004295996,0.02,0
KITEX.NS,1,0.8189257620438913,0.4998841843706954,0.0059907327340247285,0.02,0
KITEX.NS,1,0.7788446859938217,0.49880129522873706,0.006962189332570201,0.02,0
KITEX.NS,1,0.7682268826269859,0.4923466067714239,-0.02,0.02,0
KITEX.NS,1,0.7182724126483054,0.4974194299074763,-0.008287359756702917,0.02,0
KITEX.NS,1,0.6046701604124592,0.49001856820525985,0.017503640906610274,0.02,0
KITEX.NS,1,0.7410875606415326,0.5312055585597565,-0.02,0.02,0
KITEX.NS,1,0.7855781662550295,0.5182931170860288,0.04,0.02,0
KITEX.NS,1,0.7774693441670969,0.5328034897924409,-0.02,0.02,0
KITEX.NS,1,0.7611205964469301,0.5222721010230312,0.010847203058400146,0.02,0
KITEX.NS,1,0.616510636480449,0.5350719777605125,0.04,0.02,0
KITEX.NS,1,0.6016487930071958,0.5124661865072642,-0.009217070707030706,0.02,0
KITEX.NS,1,0.6034771011218,0.502408883508224,-0.02,0.02,0
KITEX.NS,1,0.6160131740955709,0.5131275630919069,0.007437558185632742,0.02,0
KITEX.NS,1,0.711825620545517,0.5268271401536879,-0.015873611595707326,0.02,0
KITEX.NS,1,0.735766050542749,0.5214473245004198,0.04,0.02,0
KMSUGAR.NS,1,0.6801682835199361,0.5289101428939259,0.026458957265946603,0.02,0
KMSUGAR.NS,1,0.7434599175978504,0.5281213480460362,-0.02,0.02,0
KMSUGAR.NS,1,0.7451107165845663,0.5263385413952132,0.04,0.02,0
KMSUGAR.NS,1,0.608385361105173,0.5158863138495252,0.04,0.02,0
KMSUGAR.NS,1,0.676871385247536,0.5331638848881798,0.03652718820200174,0.02,0
KMSUGAR.NS,1,0.688029832693854,0.5408640848528273,0.03464739113852899,0.02,0
KMSUGAR.NS,1,0.7725686623730388,0.49348117363402366,-0.02,0.02,0
KMSUGAR.NS,1,0.6223818671597573,0.5075769042710572,-0.02,0.02,0
KOHINOOR.NS,1,0.6577731272928573,0.5564717166466946,-0.02,0.02,0
KOHINOOR.NS,1,0.6006935405626949,0.5267267118567824,-0.02,0.02,0
KOHINOOR.NS,1,0.6699018180928665,0.5329227309843737,0.01724355213610851,0.02,0
KOHINOOR.NS,1,0.7980982915440267,0.5170368878458969,-0.02,0.02,0
KOHINOOR.NS,1,0.717876802366504,0.5323324617118831,0.04,0.02,0
KOHINOOR.NS,1,0.633065365463726,0.5396419578191303,-0.02,0.02,0
KOHINOOR.NS,1,0.6137079421110364,0.509898395984011,0.022787201158456005,0.02,0
KOKUYOCMLN.NS,1,0.6716469268140915,0.5143067837261817,0.018565153001115053,0.02,0
KOKUYOCMLN.NS,1,0.6522153790459924,0.5085754610495298,0.04,0.02,0
