ticker,date,confidence,volatility,position_size,regime
AAKASH.NS,2025-04-10,0.7016,0.4884,0.0026,0
AGSTRA.NS,2025-04-10,0.6554,0.4099,0.0035,0
AKG.NS,2025-04-10,0.6862,0.6142,0.0016,0
ALMONDZ.NS,2025-04-10,0.7647,0.7398,0.0013,0
ALOKINDS.NS,2025-04-10,0.7033,0.5069,0.0025,0
ALPA.NS,2025-04-10,0.7202,0.5951,0.0018,0
ANTGRAPHIC.NS,2025-04-10,0.7267,0.396,0.0042,0
ASMS.NS,2025-04-10,0.6709,0.6928,0.0013,0
ATALREAL.NS,2025-04-10,0.7232,0.3655,0.0049,0
BEPL.NS,2025-04-10,0.79,0.4964,0.0029,0
BINANIIND.NS,2025-04-10,0.7368,3.1877,0.0001,0
BLBLIMITED.NS,2025-04-10,0.6896,0.8286,0.0009,0
CALSOFT.NS,2025-04-10,0.7194,0.3637,0.0049,0
CCHHL.NS,2025-04-10,0.6991,0.6404,0.0015,0
CENTEXT.NS,2025-04-10,0.6784,0.4601,0.0029,0
CINEVISTA.NS,2025-04-10,0.754,0.5262,0.0025,0
COMPINFO.NS,2025-04-10,0.6818,0.6653,0.0014,0
CORALFINAC.NS,2025-04-10,0.6573,0.677,0.0013,0
COUNCODOS.NS,2025-04-10,0.7334,0.4276,0.0036,0
CREATIVEYE.NS,2025-04-10,0.7233,0.3571,0.0051,0
CURAA.NS,2025-04-10,0.6995,1.061,0.0006,0
DANGEE.NS,2025-04-10,0.7009,0.9107,0.0008,0
DIACABS.NS,2025-04-10,0.6571,0.5437,0.002,0
DNAMEDIA.NS,2025-04-10,0.6719,0.3352,0.0054,0
EASEMYTRIP.NS,2025-04-10,0.7065,0.5459,0.0021,0
EQUIPPP.NS,2025-04-10,0.7317,0.557,0.0021,0
EUROTEXIND.NS,2025-04-10,0.7297,0.6089,0.0018,0
EXCEL.NS,2025-04-10,0.694,0.3799,0.0043,0
EXXARO.NS,2025-04-10,0.7145,0.5176,0.0024,0
FLFL.NS,2025-04-10,0.6646,0.6877,0.0013,0
FMNL.NS,2025-04-10,0.7161,0.5051,0.0025,0
FOCUS.NS,2025-04-10,0.7561,0.6767,0.0015,0
GATECH.NS,2025-04-10,0.6817,0.6684,0.0014,0
GATECHDVR.NS,2025-04-10,0.8134,0.4003,0.0046,0
GAYAHWS.NS,2025-04-10,0.6825,0.1156,0.02,0
GODHA.NS,2025-04-10,0.7086,0.3753,0.0045,0
GOYALALUM.NS,2025-04-10,0.6972,0.3675,0.0046,0
GREENPOWER.NS,2025-04-10,0.6625,0.6176,0.0016,0
GVKPIL.NS,2025-04-10,0.6848,0.3888,0.0041,0
GVPTECH.NS,2025-04-10,0.6719,0.9833,0.0006,0
HATHWAY.NS,2025-04-10,0.7196,0.4261,0.0036,0
HCC.NS,2025-04-10,0.7178,0.7131,0.0013,0
HDIL.NS,2025-04-10,0.7816,0.7007,0.0014,0
HEADSUP.NS,2025-04-10,0.7125,0.3416,0.0055,0
HTMEDIA.NS,2025-04-10,0.6544,0.4335,0.0031,0
IMPEXFERRO.NS,2025-04-10,0.6885,0.3825,0.0042,0
INDOWIND.NS,2025-04-10,0.6804,0.6115,0.0016,0
JHS.NS,2025-04-10,0.8425,0.4292,0.0041,0
JPPOWER.NS,2025-04-10,0.697,0.5722,0.0019,0
JYOTISTRUC.NS,2025-04-10,0.7012,0.7449,0.0011,0
KAMDHENU.NS,2025-04-10,0.6635,0.6373,0.0015,0
KOKUYOCMLN.NS,2025-04-10,0.6655,0.468,0.0027,0
KRIDHANINF.NS,2025-04-10,0.7207,1.3087,0.0004,0
KRITIKA.NS,2025-04-10,0.7339,0.282,0.0083,0
LAL.NS,2025-04-10,0.711,0.395,0.0041,0
LANCORHOL.NS,2025-04-10,0.6809,0.729,0.0012,0
LPDC.NS,2025-04-10,0.6777,0.4969,0.0025,0
LYPSAGEMS.NS,2025-04-10,0.652,0.8277,0.0009,0
MARSHALL.NS,2025-04-10,0.6807,0.9013,0.0008,0
MAWANASUG.NS,2025-04-10,0.7253,0.4682,0.003,0
MGEL.NS,2025-04-10,0.6548,0.6906,0.0012,0
MMTC.NS,2025-04-10,0.6715,0.5589,0.0019,0
MOKSH.NS,2025-04-10,0.6959,0.9382,0.0007,0
MORARJEE.NS,2025-04-10,0.6934,0.77,0.0011,0
NAGAFERT.NS,2025-04-10,0.6795,0.8134,0.0009,0
NAGREEKEXP.NS,2025-04-10,0.6835,0.7917,0.001,0
NDL.NS,2025-04-10,0.7028,0.7988,0.001,0
NEXTMEDIA.NS,2025-04-10,0.7184,0.4659,0.003,0
NILASPACES.NS,2025-04-10,0.7175,0.5023,0.0026,0
NKIND.NS,2025-04-10,0.6915,0.5708,0.0019,0
NOIDATOLL.NS,2025-04-10,0.664,0.7896,0.001,0
NRL.NS,2025-04-10,0.6763,0.8878,0.0008,0
NTPCGREEN.NS,2025-04-10,0.7656,0.3309,0.0063,0
OMKARCHEM.NS,2025-04-10,0.7458,0.5988,0.0019,0
ORIENTALTL.NS,2025-04-10,0.7352,0.4719,0.003,0
ORTINGLOBE.NS,2025-04-10,0.682,0.6133,0.0016,0
OSWALGREEN.NS,2025-04-10,0.6858,0.5362,0.0021,0
OSWALSEEDS.NS,2025-04-10,0.6617,0.8775,0.0008,0
PCJEWELLER.NS,2025-04-10,0.7383,0.8253,0.001,0
PILITA.NS,2025-04-10,0.6546,0.6056,0.0016,0
RAJRILTD.NS,2025-04-10,0.7643,0.2946,0.0079,0
RAMANEWS.NS,2025-04-10,0.7727,0.0019,0.02,0
RHFL.NS,2025-04-10,0.7251,0.8258,0.001,0
ROLLT.NS,2025-04-10,0.7015,0.3609,0.0048,0
ROLTA.NS,2025-04-10,0.6936,0.566,0.0019,0
RTNPOWER.NS,2025-04-10,0.6752,0.6113,0.0016,0
SABEVENTS.NS,2025-04-10,0.7844,0.9779,0.0007,0
SADBHAV.NS,2025-04-10,0.7141,0.2014,0.0158,0
SAMMAANCAP.NS,2025-04-10,0.6612,0.6243,0.0015,0
SANCO.NS,2025-04-10,0.6861,0.4292,0.0034,0
SANWARIA.NS,2025-04-10,0.7049,0.3788,0.0044,0
SARVESHWAR.NS,2025-04-10,0.699,0.3927,0.0041,0
SECURKLOUD.NS,2025-04-10,0.7678,1.7727,0.0002,0
SETCO.NS,2025-04-10,0.6785,0.4229,0.0034,0
SHANTI.NS,2025-04-10,0.67,0.3561,0.0048,0
SHRENIK.NS,2025-04-10,0.8182,0.7017,0.0015,0
SHYAMCENT.NS,2025-04-10,0.7758,0.4058,0.0042,0
SIMBHALS.NS,2025-04-10,0.7272,0.5843,0.0019,0
SPCENET.NS,2025-04-10,0.765,0.5828,0.002,0
SRPL.NS,2025-04-10,0.7713,0.4843,0.003,0
SUNDARAM.NS,2025-04-10,0.6902,0.61,0.0017,0
SUPERSPIN.NS,2025-04-10,0.7007,0.3586,0.0049,0
SUPREMEENG.NS,2025-04-10,0.6563,1.0565,0.0005,0
SUULD.NS,2025-04-10,0.6792,0.681,0.0013,0
SYNCOMF.NS,2025-04-10,0.7461,0.6151,0.0018,0
TAKE.NS,2025-04-10,0.6718,0.5588,0.0019,0
TARAPUR.NS,2025-04-10,0.6925,0.3131,0.0064,0
TCIFINANCE.NS,2025-04-10,0.65,0.4775,0.0026,0
TECILCHEM.NS,2025-04-10,0.696,2.7305,0.0001,0
TIJARIA.NS,2025-04-10,0.6818,0.7325,0.0011,0
TPHQ.NS,2025-04-10,0.6677,0.8581,0.0008,0
TREEHOUSE.NS,2025-04-10,0.68,0.7248,0.0012,0
TRU.NS,2025-04-10,0.6958,0.5329,0.0022,0
TVVISION.NS,2025-04-10,0.8336,0.6497,0.0018,0
UNIINFO.NS,2025-04-10,0.6856,0.8315,0.0009,0
UNITECH.NS,2025-04-10,0.66,0.6685,0.0013,0
URJA.NS,2025-04-10,0.6842,0.1591,0.02,0
VASCONEQ.NS,2025-04-10,0.6841,0.6504,0.0015,0
VIKASECO.NS,2025-04-10,0.6729,0.5506,0.002,0
VINNY.NS,2025-04-10,0.6782,0.3704,0.0044,0
VIPULLTD.NS,2025-04-10,0.6892,0.2331,0.0114,0
VIVIDHA.NS,2025-04-10,0.686,0.5371,0.0021,0
YAARI.NS,2025-04-10,0.7087,0.6359,0.0016,0
YESBANK.NS,2025-04-10,0.7033,0.3686,0.0047,0
ZEEMEDIA.NS,2025-04-10,0.7474,0.6709,0.0015,0
